"","candidate","combo","gender","trimmed","inc","openseat","ss_party"
"122","Cheney, Carole","Carole Cheney IL",1,"I am strong advocate of women’s reproductive rights and the services provided by Planned Parenthood, the nation’s largest provider of both family planning services and health care to poor women. I am pro-choice and I will work to protect every woman’s right to make informed choices about her body in consultation with her doctor and without the interference of politicians. As Congressman Foster’s District Chief of Staff, I toured the Planned Parenthood facility in Aurora in the wake of an arson incident to provide moral support to people who work there and to stand up for Planned Parenthood. I will work to ensure Planned Parenthood can continue to provide crucial health and family planning services to millions of American families.",0,0,2
"123","Clark, Anthony","Anthony Clark IL",0,NA,0,0,1
"124","Kelly, Brendan","Brendan Kelly IL",0,NA,0,0,2
"125","Bequette, David","David Bequette IL",0,"I will defend access to contraception, education, STD screening, and a woman’s right to choose. I will fight any legislation or executive action that would allow an insurance company to discriminate against women because of erroneously dubbed “pre-existing conditions.” A woman’s reproductive rights must be protected without exclusion!\n",0,0,2
"126","Gill, David","David Gill IL",0,"Dr. Gill firmly believes women and their physicians should have control over important healthcare decisions. All options should be available to all pregnant women, including safe and legal abortion, regardless of ability to pay. As a physician, Dr. Gill has provided care to thousands of pregnant women. Too many politicians do not understand the complexity of women’s health issues. As a congressman, Dr. Gill will fight each day to make sure that Roe v. Wade remains the law of the land, and he will stand up to Republican-led efforts to restrict access to safe, legal abortions.",0,0,2
"127","Ebel, Jon","Jon Ebel IL",0,"As a nation we’ve made great strides in making our nation a more equal, equitable place. But we still have a long way to go to ensure women, people of color and the LGBTQ community are afforded equal rights, privileges and protections under the law.  \nJon is proudly pro-choice. He supports the right of women to make their own medical decisions and trust them to do so without the interference from (all too often) male politicians or judges.\nJon also supports requiring health insurance companies to cover the full cost of birth control. It’s basic medical care and should be treated as such. In Congress, He’ll never back down on this commitment to uphold the legal right of women to access abortion services and the full-range of reproductive health care.\n\nAnd as recent revelations have shown, our nation has a lot of work to do to guarantee that our workplaces, schools and institutions are places where women are free from harassment and assault. Jon is awed by the brave women who have come forward and shown the bright light of truth on this societal problem and I’m ready to be part of the solution.\nCongress needs to do 2 things—it needs to put its own house in order and it needs to pass tough, unambiguous laws that protect victims of harassment and target companies and institutions that foster a culture where harassment and mistreatment of women can persist. We should do away with non-disclosure agreements that cover up abusive and harassing behavior and discourage victims from coming forward.\nCongress has already spent over $15 million of taxpayer money settling sexual harassment cases brought by congressional staffers. That needs to end-no public money should be paid out to hush up allegations of abuse. And any credible allegation of sexual harassment needs to be made public.\nThat would be a good start but there is much more we must do. Women in our country deserve this issue finally be taken seriously.\nBACK TO ISSUES\n\n",0,0,2
"128","Londrigan, Betsy Dirksen","Betsy Dirksen Londrigan IL",1,"As a woman, Betsy knows that women's issues are matters of economic and social justice. She'll stand up to President Donald Trump and right-wing Republican attacks on women's healthcare. Congress is full of men who vote against funding for Planned Parenthood, denying millions of women a safe, free option for birth control, life-saving cancer screenings, and other critical healthcare tools. Betsy will strongly advocate for policies that put women on equal footing with our male counterparts and provide pathways to equality.\nBetsy will work to:\n\nChampion legislation for equal pay for equal work\n\tPrioritize safety on college campuses\n\tPromote policies that allow for flexibility in the workplace including family leave and caring for children and elderly family members\n\tProtect a woman's right to make her own healthcare decisions and treat women's reproductive health with individual respect and without additional costs\n\tStrengthen sexual harassment and abuse policies across all employment sectors that put victims first and bring transparency to the reporting process\n\n",0,0,2
"129","Walz, Jim","Jim Walz IL",0,NA,0,0,2
"130","Swanson, Victor","Victor Swanson IL",0,"Women deserve equal rights, and I will fight to ensure these rights for all women.  I am also a pro-choice advocate.  My parents separated when I was 8 years old, and like many children today, we lived in a single parent household headed up by my mother, a small business owner who worked 60 hours a week. My mother is a strong woman who taught her children to be respectful of all human beings.  I am alarmed that still today women do not receive the same wages for the same jobs that men do.  Currently, we have a government that makes decisions concerning womena without any input from women.  We should follow the lead of the United States Women's National Soccer Team who made a strong statement by refusing to participate in games until they received the same benefits as the men's team.",0,0,2
"131","Weber, George","George Weber IL",0,NA,0,0,2
"132","Roldan-Johnson, Daniel","Daniel Rodan-Johnson IL",0,NA,0,0,2
"133","Underwood, Lauren","Lauren Underwood IL",1,NA,0,0,2
"134","Brolley, Matthew","Matt Brolley IL",0,NA,0,0,2
"135","Spoerer, Carl","Carl Spoerer IL",0,"Protect women’s access to health care facilities and community clinics that provide vital services to struggling urban and rural communities (cancer screening, STD testing, low-cost birth control, etc.)",0,0,0
"136","Briel, Murri","Amy 'Murri' Briel IL",1,"All people deserve fundamental human rights. I firmly support equality and the pursuit of happiness for all people. I also support the ability for all individuals to control their own bodies--and the choice to make decisions about reproductive rights should always and only between a woman and her health care provider.\n \nNo one should be persecuted for being who they are or for practicing their beliefs.",0,0,2
"137","Vercolio-Osmund, Beth","Beth Vercolio-Osmund IL",1,NA,0,0,2
"138","Dady, Sara","Sara Dady IL",1,"As a college student in 1992 I campaigned for the Equal Rights Amendment and nearly 30 years later it is outrageous that it is still an open question whether women should be recognized as equal to men under our Constitution. I know that federal law can be used as a tool for positive social change if we elect people of courage and vision who have the will to advocate for the fair and equitable treatment of all people.\n\nLandmark Voting Rights, Civil Rights and Equal Pay legislation in the 1960s was intended to eliminate discrimination based on race, color, sex, religion and national origin as well as end segregation and remove barriers to voting, but we still suffer from grave injustices in our country from institutional racism to sexual harassment. We must preserve the civil rights so many fought for and work for the day when every member of our society is treated with respect and dignity regardless of what they look like, where they are from, who they love or what they believe.",0,0,2
"139","Rodriguez, Junius","Junius Rodriguez IL",0,"Rodriguez Sees Multifaceted Remedies to Addressing the Wage Gap\nLabor Day presents the perfect time for focusing upon one of the more persistent problems that plagues the labor market—the gender-based wage gap. On average women earn less than men, but the causes of this problem are multifaceted and extend far beyond the casual assumption that wage inequality for equitable work is the key culprit. In fact, federal law has prohibited employers from gender-based wage discrimination since passage of the Equal Pay Act (1963) and Title VII of the Civil Rights Act (1964), and this was reinforced in 2009 with the passage of the Lilly Ledbetter Fair Pay Act.That the wage gap has persisted through the years is evidence that systemic and institutional factors are at play that contribute to this problem.\nSince women constitute nearly two-thirds of workers who are employed at minimum wage jobs, an effort to raise the minimum wage is one of the means that can be used to address the wage gap. The purchasing power of the minimum wage (adjusted for inflation) has been erratic through the years, and the relative value of a minimum wage salary has declined by nearly 20 percent since the last hike in minimum wage occurred back in 2009. I would like to see the federal government implement a three-year tiered plan to raise the minimum wage to $10.10 by 2019. Individual states and cities would retain the right to use a minimum wage that his higher than the federal standard, but this adjustment would significantly raise the threshold so that wage gap differences would be lessened.\nThe federal minimum wage for tipped labor, which stands at $2.13 per hour, has not been raised in the past fifteen years. Since women also constitute the vast majority of American workers who are employed as tipped laborers, an increase in the tipped minimum wage would also have an impact upon efforts to remedy the wage gap. I believe that the federal minimum tipped wage should ultimately be $5.05 (half of the newly proposed minimum wage) to be achieved on a three-year tiered plan of increase. These two initiatives would go a long way in helping to remedy much of the wage differences that account for the wage gap.\nOther factors that must be considered if we hope to address the wage gap are the levels of support that we find at the state and federal levels to help provide safe and affordable child care for working women as well as substantial investment in early childhood education programs. All too often women who labor among the so-called “working poor” must make the choice of whether or not they can work due to the financial constraints that child care costs provide. Frequently reliance on family to provide such services, or other less than ideal circumstances, is used as a stopgap measure, but interruptions in such arrangements makes it difficult for one to sustain employment for an extended period of time.\nWe often consider the circumstances of the wage gap as a stand-alone story that is secondary to other public policy concerns, but we must use a more holistic approach to recognize the severity of this issue and summon the means to address it. The wage gap has a direct correlation to poverty in the United States, and by curious circumstance women and children are those who fall victim to poverty more often than not. In addition, among many poor and single-parent families women are the primary breadwinners, so wage barriers merely perpetuate the cycle of poverty for many. Although the policy initiatives that are outlined here may not be the ultimate systemic solution that will remedy the wage gap, they certainly will move us closer to a more equitable wage differential in American society.  \n \n\n",0,0,0
"140","Miller, Darrell","Darrel Miller IL",0,NA,0,0,0
"141","Chubb, Larry","Larry Chubb IN",0,NA,0,0,2
"142","Hackett, Pat","Pat Hackett IN",1,"Dignity And Justice For Women\nRecognizing the dignity of women and promoting justice for women are essential to our democracy. In particular, women’s right to privacy regarding their reproductive decisions is directly tied to their dignity and moral authority as human beings, and the recognition that it is exactly by sexual violation, coercion, and control by others that women’s right to justice has been denied. True pro-life legislation protects both women in their bodies from the coercive power of the state and protects the life of the unborn by addressing the social, economic, and medical realities that create many of the circumstances that lead to abortion. The protection of women’s bodies from the coercive power of the state is a constitutionally protected liberty interest. Women have the right to make all decisions concerning their bodies, including their reproductive health. We only have to look at our current global reality of forced sterilizations, nonconsensual childhood marriage, forced pregnancy, forced abortion, and female genital mutilation where women do not have a constitutionally guaranteed right to their own bodies to understand how misguided the debate on these issues is. In many cases, these constitutionally guaranteed rights are also ignored and abused in our nation.\nTrue pro-life legislation would wage a cultural war on poverty. Indiana is the 6th worst state in the nation with regard to the gender pay gap1. Women who work full time earn only 74% of what men make. This gap only increases for African American, Hispanic, and Native American women. Additionally, infant care costs are 15.6% of the median Hoosier family income2. Maternal mortality rates during pregnancy in Indiana are 1.75 times that of the national average3. More than 8 percent of Hoosier women are raped before they reach the age of 184. These statistics are unacceptable. All women should have the ability to access safe, affordable, local, and high-quality health care. Ensuring dignity and justice for women must include a commitment to supporting struggling families and children, to safe and affordable housing, to quality public education, and to life-long social services that are essential to the health and well-being of individuals and their families.\n1 American Association of University Women (AAUW) 2017, The Simple Truth about the Gender Pay Gap, https://www.aauw.org/aauw_check/pdf_download/show_pdf.php?file=The-Simple-Truth\n2 Economic Policy Institute (EPI) 2016, Child Care Costs in the United States, http://www.epi.org/child-care-costs-in-the-united-states/\n3 America’s Health Rankings 2016, United Health Foundation, 2016 Health of Women and Children Report, https://www.americashealthrankings.org/explore/2016-health-of-women-and-children-report/measure/maternal_mortality/state/IN\n4Centers for Disease Control and Prevention (CDC) 2017, The National Intimate Partner and Sexual Violence Survey: 2010-2012 State Report, https://www.cdc.gov/violenceprevention/pdf/NISVS-StateReportBook.pdf",0,0,0
"143","Hall, Mel","Mel Hall IN",0,NA,0,0,0
"144","Joshi, Yatish","Yatish Joshi IN",0,"Raise the minimum wage to $15/hour NOW\n\n\nProvide health care to all employees\n\n\nPay equity for women and people of color\n\n\nSupport local unions to provide our district with a skilled and trained workforce\n\n\n\t\n\n\t\n\t\t\n\t\t\tIt is time that the 99%, rather than only the wealthiest 1%, benefit from federal policy. Along with allies in Congress, I will propose to raise the minimum wage to $15/hour and require employers to provide health care to all working Hoosiers as one of my first priorities. I will also require paid leave, at least 10 days annually for all employees. I will fight for pay equity for women and people of color, whose wages and wealth are among the lowest in America. I will support local unions to encourage the development of a skilled and trained workforce that serves our communities and contributes to the diverse economy of Indiana’s 2nd District. These measures will help reduce obscene levels of income inequality in America.",0,0,0
"145","Tritch, Courtney","Courtney Tritch IN",1,NA,0,0,0
"146","Griesey, Darin","Darin Griesey IN",0,NA,0,1,0
"147","Beck, Tobi","Tobi Beck IN",1,NA,0,1,0
"148","Mackey, Joe","Joe Mackey IN",0,NA,0,1,0
"149","Douglas, Dion","Dion Douglas IN",0,"I know that no man has any right making any judgement about women's health unless he's a doctor, which I'm not. \n\nFirst, it's settled law (although some seem to think it isn't). Nearly 99% of abortions happen before 21 weeks. However, there are instances past 20 weeks where mothers should be allowed to have an abortion. These are often very complex circumstances. It hurts thinking about such situations, because I know that no one wants to be in a situation like where they find out the mothers life is at stake, or the baby will only live a few hours out of the womb, or any number of other situations. I don't think we should restrict those situations in the least bit.  I know a little bit about these situations because we lost our baby at nearly 8 months.  Nothing hurts more than losing a child that you have planned for.\n\nI'm pro-choice, because I think a woman should have a right over her body and medical decisions.",0,0,2
"150","Faraggi, Eshel","Eshel Faraggi IN",0,"A woman has a right over her body. Women issues are distinct as women have the distinct right of\nproducing babies. Babies are awesome! However, as awesome as babies are, their right to life cannot eliminate the\nrights of a woman to her own person. As your representative I will work to ensure that a woman will never be forced\nto either terminate or carry through her pregnancy, and that the full gamut of options be at a pregnant woman's\ndisposal. A woman also has a right over her personal space. I will work to ensure that all people and especially\nwomen have a private and public environments that are safe from harassment and abuse. Politicians must speak\nclearly and often about these issues, not only as a reaction to some headline, but as a main talking point on a\ncontinual basis. Constant pressure on these issues will bring about change.",0,0,2
"151","Moore, Kyle","Kyle Moore IN",0,NA,0,0,2
"152","Thornton, Dee","Dee Thornton IN",1,NA,0,0,2
"153","Pruett, Jim","Jim Pruett IN",0,NA,0,1,0
"154","Lake, Jeannine","Jeannie Lee Lake IN",1,"As a woman who has been the object of discrimination and prejudice, I have been and will continue to be an advocate for all people.  As a longtime Christian and having been a pastor's kid and a pastor's wife, I have the right to my personal views that are my own spiritual beliefs (as is the American way).  But I have a proven record of supporting all people - including LBGTQIA, people of various faiths and ethnicities and will reach across the political aisle to make the 6th District a better place to live.  Congress has proven we cannot get anything done without listening to one another and extending a hand of occasional compromise.  Let's make the 6th District better - together!""",0,1,0
"155","Williamson, Joshua","Joshua Williamson IN",0,"A woman’s right to choose is something I'll always defend. \n   There's no logical reason why someone would want to force children to be born into homes that can’t afford them or parents who say they don’t want them.  We have decades of evidence showing the benefit across all of society when a country allows women the right to choose.\n   One of the most helpful things a country can do for itself is to make contraceptives as readily available as possible. The people who want them and can’t afford them are the ones who need them the most. \n   How much better would our country be if every single child was born into financial stability, love, and options.",0,1,0
"156","Siekman, Lane","Lane Siekman IN",0,NA,0,1,0
"157","Spicer, Sue","Sue Spicer IN",1,"Create a livable minimum wage formulated by region with 7 year reassessments. Add a ratio between the CEO and lowest paid person on corporate grounds. Sue will co-sponsor the Paycheck Fairness Act which addresses the issue of woman being paid less than men doing the same work.",0,0,1
"158","Godfrey, Curtis","Curtis Godfrey IN",0,NA,0,0,1
"159","Tanoos, William","William Tanoos IN",0,NA,0,0,0
"160","Watson, Liz","Liz Watson IN",1,"I have spent my career defending women’s rights on the job. I’ll demand full funding for the Violence Against Women Act, respect for women’s control of their own health care, and economic security for working women.",0,0,0
"161","Canon, Daniel","Dan Canon IN",0,"Defend a woman's right to make her own health decisions and support policies proven to reduce unwanted pregnancies while being resolute in the commitment to reproductive freedom for all; safe, legal, and accessible abortion; repeal of the Hyde Amendment; fully subsidized coverage of contraception as well as quality pre-/post-natal care; support for the EACH Woman Act of 2017 (H.R. 771).",0,0,0
"162","Chatlos, Rob","Rob Chatlos IN",0,NA,0,0,0
"163","Finkenauer, Abby","Abby Finkenauer IA",1,"Iowans are working harder than ever but wages have grown too slowly over the last decade. Women still earn less than their male counterparts and parents too often have to choose between a paycheck or staying home with their newborn. Washington politicians continue to side with corporations and the wealthy over hard-working Americans. And the damage is clear: wages are lower, union membership is down, and the middle class is shrinking.\nIt’s time for everyday Iowans to have a voice in Washington. I’ll prioritize expanding economic opportunity and security so that families can thrive right here in Eastern Iowa. In Congress, I will fight for equal pay, the unions that support our families, and a fair, living wage for every hard-working American.

In Iowa, women are paid 77 cents for every dollar that men earn, which means Iowa’s women – and their families – lose out on an average of $11,034 every year.2 That’s simply not acceptable.\nAs a state legislator, I fought hard for equal pay and introduced an amendment to require all businesses that contracted with the state to certify that they paid the same wages to men and women with the same education level and experience.3 Equal pay is a moral issue and a working families issue and I plan to continue this fight in Washington. In Congress, I will support equal pay legislation to close the wage gap that continues to hurt women and families across the country.\n

\n\t\t\t\t\tIt should be incredibly simple – a woman’s health should be an issue considered by herself, her doctor, and her family. Washington must stay out of the way and let women make these decisions for themselves.\nThat includes the right not to be charged more for our insurance than men, the right to have access to birth control, and the right to choose – all of which Washington politicians are threatening.\nAs a state legislator, I fought back against countless1 bills2 that targeted women’s health and defunded organizations that offered cancer screenings, preventive care, and other essential health services.3 I’ll do the same in Congress. I’ll always support trusting women to do what is right for them and I’ll stand up for continuing to fund access to health care through providers like Planned Parenthood.",0,0,2
"164","Rowe, Courtney","Courtney Rowe IA",1,NA,0,0,2
"165","Heckroth, Thomas","Thomas Heckroth IA",0,"Healthcare is a right, not a privilege. Today, for the first time ever, more than 90 percent of Americans have health insurance. We ended discrimination against people with pre-existing conditions. It’s time to get everyone covered: to protect women’s health and the right to choose, to put mental health on par with physical health, and to lower out-of-pocket costs.",0,0,2
"166","Ramsey, George","George Ramsey IA",0,"I will defend women’s access to contraception and a woman’s right to choose and fight any legislation or executive action that would allow insurance companies to discriminate against women.\nI will go to work to ensure that health insurance premiums don’t cripple small businesses or force them to lay off employees.",0,0,2
"167","Axne, Cindy","Cindy Axne IA",1,"Here in Iowa and around the country we have seen women’s rights attacked. Just last year alone, Iowa lost four planned parenthood facilities leaving over 14,000 women and men without primary care services. That’s unacceptable.  As a member of Congress, Cindy will fight to keep Washington politicians out of the Doctor’s office and out of the personal decisions between women and their doctors.  That’s why Cindy will ensure that Planned Parenthood funding continues, allowing women and men to continue to receive vital healthcare services.\n\n",0,0,2
"168","Mauro, Eddie","Eddie Mauro IA",0,"Full employment means an economy that works for everyone, with equal pay for equal work, paid family sick leave, and affordable childcare.\n\n",0,0,2
"169","Jacobsen, Leann","Leann Jacobson IA",1,"I stand for equal pay for equal work, ensuring women have control over their reproductive health, and improving protections for women from sexual assault and domestic abuse. Most of the most influential role models in my life have been women, and I have been appalled to see the assaults on women’s rights in Iowa.",0,0,2
"170","Scholten, JD","J.D. Scholten IA",0,"I stand for equal pay for equal work, ensuring women have control over their reproductive health, and improving protections for women from sexual assault and domestic abuse. Most of the most influential role models in my life have been women, and I have been appalled to see the assaults on women’s rights in Iowa.",0,0,2
"171","LaPolice, Alan","Alan LaPolice KS",0,NA,0,0,0
"172","Davids, Sharice","Sharice Davids KS",1,"Sharice believes -\nToo many Americans are suffering - and dying - because they lack affordable healthcare.\nIt is unacceptable that we pay the highest cost for prescription drugs in the world. \nWomen face too many restrictions and regulations over the care of their own bodies. Costs are too high for the full range of necessary reproductive healthcare services, including pre-natal, post-natal, contraception, and fertility treatment.  \nSharice plans to -\nSupport the continued expansion of Medicaid. \nSupport legislation that prevents price gouging and restricts the ability of companies to slow the introduction of generic brands.\nEnable Medicare to negotiate drug prices.\nSupport legislation that ensures women have access to a full range of healthcare services and that they are not excluded from insurance plans or denied care by providers. \nSupport initiatives aimed at reducing the alarming and preventable disparity of maternal mortality rate facing African American mothers.",0,0,2
"173","Williams, Sylvia","Sylvia Williams KS",1,"Kansas ranks in the middle third in the nation for women’s Employment & Earnings. We need protections passed in Congress that require women to receive equal pay and fair benefits which should include paid family leave. Below are some key findings regarding women in Kansas:Equal Pay:  Women in Kansas currently receive approximately 77.1 cents on the dollar compared with men.  Trends among minority groups are more alarming. Hispanic women earn just 52 cents for every dollar earned by white men.Paid Family Leave:  The United States is one of only three countries that does not require paid family leave (the others are the Republic of Suriname and Papua New Guinea).  When I had my daughter, I was shocked and enlightened regarding this important issue. We need to support working families and provide for paid family leave.Equal Pay and Poverty:  If employed women in Kansas were paid comparable to men, the poverty rate for Kansas families would be reduced by nearly half.Current Trends:  If the current trend continues, Kansas women will not receive equal pay until the year 2074.Pay InequalityWe need to modernize the federal minimum wage system. We currently have a lagging system that is only adjusted about once every decade. We need a dynamic system that is adjusted annually and is tied to the cost of living index for each specific district. For example, some areas of the country need higher than $15 per hour.",0,0,2
"174","Welder, Brent","Brent Welder KS",0,"As a husband and father of two young girls, women’s rights, equal pay, and health care are personal to Brent.  In our rigged economy, the average woman makes 80 cents for every dollar a man makes in the same job. With misogynist Donald Trump as President, it’s now more important than ever to draw a line in the sand on women’s rights.  Brent pledges to stand up to Trump, and support equal wages for equal work.  He also believes in a woman’s right to choose, and will fight all efforts to defund community health centers, such as Planned Parenthood.",0,0,2
"175","McCamon, Mike","Mike McCamon KS",0,"Since our Independence, women have bravely fought for a voice in our government. For over a century, women have been fighting for Constitution equality in our country. An Equal Rights Amendment was first introduced in 1921 and again later in 1971. Both efforts failed. The time is now to address sex inequity in our country. \nReintroduction and ratification of an Equal Rights Amendment.\nRequire employers provide equal pay for equal work.\nEnd the culture of sexual harassment.\nProtect and defend womens’ reproductive rights.\nDesignate Election Day as a Federal Holiday offering wider access to the polls for working women.\nExtend Family and Medical Leave Act provision for 12 weeks parental leave to businesses with as few as 10 employees.

Like our former Presidents, I support “Safe, Legal, and Rare” and a women’s right to choose. Despite our differences, most every American can agree on two things: (1) people should have the right to make their own family planning decisions and (2) we should care for those making remarkably difficult decisions and comfort those affected by them.\nPeople have the liberty to make their own family planning decisions. We don’t want the government to control every pregnancy. Likewise we don’t want government to mandate we have 10 children either. We want the freedom to decide and our democracy should protect that right. Even the most “single issue” voters in our community practice family planning.\nFamily planning decisions, especially those that are a result of an unplanned pregnancy, are likely the most difficult life decision women and a family can make. We should care and support those navigating that decision. They need our support. And the last point, we should comfort those impacted by that decision.\nWomen alone control their bodies and make their own medical decisions.\n“Safe, legal, and rare”\nSupport those impacted by reproductive decisions\nCelebrate birth and adoptive families.\n",0,0,2
"176","Thompson, James","James Thompson KS",0,"Women must be represented as a whole, not through the lens of a single issue. Women shouldn’t have to fight for access to birth control while large corporations systematically employ wage discrimination policies aimed at increasing profits.Today, women still earn anywhere from 22 to 46 percent less than their male counterparts in 99.6 percent of all occupations, causing forty-two million women to fall into poverty and take their children with them. Women pay $1 billion more in health insurance premiums. Female incarceration rates have skyrocketed. Our foster care system is in need of a major overhaul and is, all too often, used as a pipeline for sex trafficking women and young girls. Reproductive healthcare is under attack. Police departments nationwide are woefully under-trained to handle domestic violence situations and the courts often don’t enforce standards fairly in urban and rural areas.James believes ratification of the Equal Rights Amendment is the first step in righting the wrongs we have inflicted on the women and girls of this country and guaranteeing them equal protection under the Constitution.\nThe ERA will not solve all our problems, but it would be a boost of momentum to help guarantee a world where our mothers, sisters, wives, daughters, and friends are treated with equal respect, dignity, and opportunity under the law. In Congress, James will fight to ensure its passage because women’s rights are human rights.\nAs Congressman, James would take action against any kind of legislation that would prohibit reproductive rights. James trusts women to make the right decisions about their own healthcare and supports a woman's right to choose.",0,0,0
"177","Lombard, Laura","Laura Lombard KS",1,"EMBRACING OUR DIVERSITY\nFighting to Sustain & Increase Equal Rights:\nAs your U.S. Representative, I would fight for equal rights and opportunities for all Kansans and Americans, regardless of race, ethnicity, age, physical or mental disabilities, economic status, religion, creed, gender, national origin, veteran or military status, sexual orientation, or gender identity.\n\nAdvocating for Human Rights:\nNo one, whether man, woman, or child, should be subjected to physical, emotional, or sexual abuse. No one should be blamed for the unwanted advances of an aggressor for any reason. We should protect our citizens from harm and put responsibility on the perpetrator harming another individual rather than on the victim. \n\nAs your U.S. Representative, I would be a strong voice on issues of abuse and personal safety.\n\nAs a professional, I know all too well the challenges that men and women face in balancing professional and family life. \n\nAs your U.S. Representative, I would advocate for equal pay, paid maternity AND paternity leave, and affordable childcare. Having these protections in place are not only for the wellbeing of women but also for the well-being of families and society as a whole.\n\ Understanding Women’s Rights Are Human Rights:\nWe have made great progress in expanding the rights and opportunities for women in this country. However, we also have far to go in ensuring that all women have equal opportunities and treatment under the law. Many women still face barriers to entering and advancing in the workforce. In addition, women’s rights to make their own health decision is particularly under fire from this new Administration.\n\nA woman’s personal health decisions should be made in consultation with her family, her faith, and her doctor. I am pro-choice. I would like to emphasize the word “choice.” No one wants to make the decision to have an abortion. The decision to have an abortion is a very personal, very painful one. Particularly in situations where a woman’s life is at risk and a medical decision has to be made, that needs to be a determination between the doctor and patient. \n\nAs your U.S. Representative, I would defend a woman’s right to choose how best to handle her own family planning and healthcare. \n\nI am pro-birth control. Access to birth control methods and sex education has greatly reduced the number of accidental pregnancies and abortions per year. The best way to reduce the number of abortions is to educate people on the tools available to prevent unwanted pregnancies in the first place. For some, abstinence is the preferred method of birth control. For others, having access to other birth control methods is equally important.",0,0,0
"178","Pennington, Alonzo","Alonzo Pennington KY",0,"I will fight to make sure that working class people like us, are compensated a fair wage for their trade.  I will fight against all discrimination and ensuring equal pay for women in the workplace.",0,0,0
"179","Walker, Paul","Paul Walker KY",0,"I believe women have the right to make their own healthcare decisions. I also am committed to equal pay and equal rights for women and all groups because we are all human and on that basis alone deserve respect.",0,0,0
"180","Linderman, Hank","Hank Linderman KY",0,NA,0,0,0
"181","Sessions, Rane Olivia","Rane Sessions KY",1,"I believe in equal pay for equal work. I believe in family planning. I support anti-discrimination laws  such as those that unfairly punish pregnant women in the workplace. I support affordable healthcare so that women will be able to receive preventative medical care for annual mammograms and pap smears, as well as access to birth control.\n\nI support paternity and maternity leave. I believe in family planning. Young people should be taught about birth control, safe sex, and ideally we cut down on teens having children who are not prepared to raise a child.\n\nOnce that child is born, then we help so that the child’s basic needs are being met. I think it’s wrong to be pro-life and forget about the child once it has been born. That isn't pro-life, that is pro-birth.\n\nI believe that women need affordable access to birth control. I have been a single mom living in poverty. I went to Planned Parenthood for my medical care when I didn't have health insurance. I wasn’t able to overcome my poverty as a single mother until I remarried.\n\nMost young women who find themselves pregnant and raising their child are living in poverty. Many young women who become pregnant are not able to afford to get an education and find a way out of poverty for themselves and their child.\n\nI support Planned Parenthood, because they support healthcare for women and men.

I am Pro Choice. I know what it's like to be a young single mom trying to support myself and my child. I was able to overcome that once I re-married. I don't want a life of poverty for any child or any mother or father. I do not believe that any girl or woman who is raped or a victim of incest should be forced to carry a pregnancy to full term.\n\nI support family planning and I support education for young girls and women to avoid unplanned pregnancies. This is how we avoid abortions -- access to birth control and sex education for our young people so we avoid unwanted pregnancies.\n\nWe have one of the highest known rates of teen pregnancy and births in developed countries. Young people in the Netherlands, who have the second lowest teen pregnancy rate, have access to sex education and contraception.\n\nWe also have great differences in poverty and wealth in our country. There are much higher rates of teen pregnancy in disadvantaged youth. These are the underlying issues that create unplanned and unwanted pregnancies.\n\nI want to talk about late-term abortions, because most people don't realize what these actually are. These are devastating procedures to end a pregnancy when a baby is not yet able to live outside of the womb. The decision to abort is a medical decision based upon testing that show the baby will be born with life-threatening illnesses or serious physical defects that will result in a short and brutal life of pain and suffering for that baby.\n\nAnother medical reason for a late-term abortion is the mother's deteriorating health during the pregnancy and the high risk of death of the mother should she continue the pregnancy. These decisions are traumatic and not at all what the mother and parents want to have to make. Late-term abortions are tragic, rare, and they are difficult decisions for the mother, the father, and the physician.\n\nNo legislator has a right to interfere with this.  It's akin to telling a cancer patient they can't have medical care that may put their cancer in remission or save their life. The government has no right to come between a patient and their doctor in determining what medical treatment is best for the patient.\n\nThe link below is an excellent video that compares sex education in the United States and the Netherlands.",0,0,0
"182","Hall, Seth","Seth Hall KY",0,"“Be the Shining City on the Hill”  \nGuarantee equal treatment for women and people of color in the workplace -- pay, hiring, promotions, etc.\nPromote programs that provide opportunities for women, people of color, and millennials.\nWork to get money out of politics by overturning the “Citizens United” ruling.\nPrevent discrimination against LGTBQ Americans.\nAddress domestic abuse and sexual assault with strong preventative measures, including age-appropriate anti-violence education.",0,0,0
"183","Lord, Christina","Christina Lord KY",1,NA,0,0,0
"184","Piatt, Patti","Patti Piatt KY",1,"Here are some facts; abortion rates are coming down, they are the lowest in 45 years for one reason. The Affordable Care Act, including lower costs of birth control for young women, better access to reproductive health services are reducing abortion. Nobody likes abortion, but the two sides differ greatly on how to reduce the number of abortions. I made the choice to have a child as a single mother. It was extremely difficult. But it was my decision. I would never want the government or anyone to interfere with a woman’s right to make her own medical decisions.",0,0,0
"185","Sykes, Scott","Scott Sykes KY",0,"Respect the reproductive rights of women and ensure that women in Eastern Kentucky have access to family planning",0,0,0
"186","Young, Geoff","Geoffrey Young KY",0,"Barr is objectively (& unknowingly) pro-abortion.  Geoff is objectively pro-life because his (and Planned Parenthood's) policies would lower the abortion rate. (4 minutes)",0,0,2
